Protein Code,Docking Score
8878.pdbqt,-8.929
746.pdbqt,-8.928
4230.pdbqt,-8.928
1676.pdbqt,-8.927
5266.pdbqt,-8.926
7508.pdbqt,-8.926
5302.pdbqt,-8.925
4828.pdbqt,-8.925
3446.pdbqt,-8.924
8565.pdbqt,-8.924
7870.pdbqt,-8.924
8646.pdbqt,-8.923
1617.pdbqt,-8.923
4542.pdbqt,-8.923
1454.pdbqt,-8.921
880.pdbqt,-8.921
1786.pdbqt,-8.921
8108.pdbqt,-8.921
7668.pdbqt,-8.921
4868.pdbqt,-8.92
4762.pdbqt,-8.92
4666.pdbqt,-8.92
6664.pdbqt,-8.919
5487.pdbqt,-8.919
4972.pdbqt,-8.919
6904.pdbqt,-8.918
5098.pdbqt,-8.918
1419.pdbqt,-8.918
5894.pdbqt,-8.918
1094.pdbqt,-8.917
9002.pdbqt,-8.917
8750.pdbqt,-8.917
8802.pdbqt,-8.916
2258.pdbqt,-8.916
5181.pdbqt,-8.916
1316.pdbqt,-8.915
4870.pdbqt,-8.915
8578.pdbqt,-8.915
6272.pdbqt,-8.914
3476.pdbqt,-8.914
9123.pdbqt,-8.912
146.pdbqt,-8.912
730.pdbqt,-8.912
8232.pdbqt,-8.911
8406.pdbqt,-8.911
5327.pdbqt,-8.911
9038.pdbqt,-8.91
3586.pdbqt,-8.91
2198.pdbqt,-8.908
3792.pdbqt,-8.908
1274.pdbqt,-8.908
2308.pdbqt,-8.907
1476.pdbqt,-8.907
4844.pdbqt,-8.905
4790.pdbqt,-8.905
6804.pdbqt,-8.905
210.pdbqt,-8.905
6938.pdbqt,-8.905
7402.pdbqt,-8.904
1221.pdbqt,-8.903
5944.pdbqt,-8.903
67.pdbqt,-8.903
4574.pdbqt,-8.902
2337.pdbqt,-8.902
946.pdbqt,-8.901
4970.pdbqt,-8.901
5640.pdbqt,-8.901
808.pdbqt,-8.9
8430.pdbqt,-8.9
6398.pdbqt,-8.9
4302.pdbqt,-8.9
634.pdbqt,-8.899
1768.pdbqt,-8.899
2265.pdbqt,-8.898
6674.pdbqt,-8.898
558.pdbqt,-8.897
4990.pdbqt,-8.897
6322.pdbqt,-8.896
2210.pdbqt,-8.896
8282.pdbqt,-8.895
3140.pdbqt,-8.895
6868.pdbqt,-8.895
2632.pdbqt,-8.895
7678.pdbqt,-8.895
1550.pdbqt,-8.895
6094.pdbqt,-8.893
7812.pdbqt,-8.893
3192.pdbqt,-8.893
4338.pdbqt,-8.892
6958.pdbqt,-8.892
7742.pdbqt,-8.892
6853.pdbqt,-8.892
7724.pdbqt,-8.892
4025.pdbqt,-8.891
1436.pdbqt,-8.891
3021.pdbqt,-8.891
496.pdbqt,-8.89
2000.pdbqt,-8.89
5296.pdbqt,-8.89
8828.pdbqt,-8.889
6020.pdbqt,-8.889
462.pdbqt,-8.889
912.pdbqt,-8.889
1966.pdbqt,-8.889
6860.pdbqt,-8.889
3214.pdbqt,-8.888
8252.pdbqt,-8.888
7087.pdbqt,-8.888
8396.pdbqt,-8.888
7710.pdbqt,-8.886
4716.pdbqt,-8.886
4782.pdbqt,-8.886
8442.pdbqt,-8.885
6806.pdbqt,-8.884
2338.pdbqt,-8.884
5134.pdbqt,-8.884
800.pdbqt,-8.883
5789.pdbqt,-8.883
6086.pdbqt,-8.883
5579.pdbqt,-8.883
7694.pdbqt,-8.882
8870.pdbqt,-8.882
2296.pdbqt,-8.882
4980.pdbqt,-8.882
7520.pdbqt,-8.882
5878.pdbqt,-8.881
4906.pdbqt,-8.881
698.pdbqt,-8.881
8380.pdbqt,-8.88
2805.pdbqt,-8.88
28.pdbqt,-8.879
2518.pdbqt,-8.879
1565.pdbqt,-8.879
6530.pdbqt,-8.879
3768.pdbqt,-8.879
8342.pdbqt,-8.877
2110.pdbqt,-8.877
8786.pdbqt,-8.877
7034.pdbqt,-8.876
370.pdbqt,-8.876
8900.pdbqt,-8.876
8855.pdbqt,-8.875
8966.pdbqt,-8.874
7690.pdbqt,-8.874
4292.pdbqt,-8.873
3124.pdbqt,-8.873
3506.pdbqt,-8.872
4558.pdbqt,-8.871
5680.pdbqt,-8.871
2126.pdbqt,-8.871
298.pdbqt,-8.871
8482.pdbqt,-8.87
